66.249.66.163 - - [15/Jul/2016:08:48:44 +0000] "GET /examples/ HTTP/1.1" 404 969
66.249.66.167 - - [15/Jul/2016:08:48:45 +0000] "GET /manager/html HTTP/1.1" 401 2474
66.249.66.167 - - [15/Jul/2016:08:48:47 +0000] "GET /manager/status HTTP/1.1" 401 2474
66.249.66.159 - - [15/Jul/2016:08:48:48 +0000] "GET /docs/setup.html HTTP/1.1" 404 981
66.249.66.159 - - [15/Jul/2016:08:48:50 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
66.249.66.159 - - [15/Jul/2016:08:48:52 +0000] "GET /docs/changelog.html HTTP/1.1" 404 989
66.249.66.159 - - [15/Jul/2016:08:48:53 +0000] "GET /docs/realm-howto.html HTTP/1.1" 404 993
66.249.66.159 - - [15/Jul/2016:08:48:55 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
66.249.66.159 - - [15/Jul/2016:08:48:57 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
66.249.66.159 - - [15/Jul/2016:08:48:59 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
69.89.14.35 - - [15/Jul/2016:09:03:02 +0000] "GET / HTTP/1.1" 200 11197
194.102.233.9 - - [15/Jul/2016:10:06:40 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:40 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:43 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:43 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:47 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:50 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:06:59 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.102.233.9 - - [15/Jul/2016:10:07:03 +0000] "GET /manager/html HTTP/1.1" 401 2474
